date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:08:25	23934/23934	---M-Z	200	added ('OK')	text/html	date:Wed,%2004%20Jun%202025%2012:38:25%20GMT	https://mymartdeal.store/	C:/My%20Web%20Sites/final%20flipkart%20clone%20finalest/mymartdeal.store/index.html	(from )
18:08:25	16694/16694	---M-Z	200	added ('OK')	text/html	date:Wed,%2004%20Jun%202025%2012:38:25%20GMT	https://mymartdeal.store/product-details/c81e728d9d4c2f636f067f89cc14862c?r=4.4&r1=9459	C:/My%20Web%20Sites/final%20flipkart%20clone%20finalest/mymartdeal.store/product-details/c81e728d9d4c2f636f067f89cc14862c7a6b.html	(from )
18:08:26	1903/1903	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-a4fe875a592b4bbd;gz%22	https://mymartdeal.store/robots.txt		(from )
18:08:26	295586/295586	---M-Z	200	added ('OK')	text/css	etag:%22482a2-683b5589-923c1b316f4a5086;gz%22	https://mymartdeal.store/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/final%20flipkart%20clone%20finalest/mymartdeal.store/assets/css/bootstrap.min.css	(from https://mymartdeal.store/)
18:08:26	27498/27498	---M-Z	200	added ('OK')	text/css	etag:%226b6a-683b5589-7141ed5fa42e4c62;gz%22	https://mymartdeal.store/assets/css/custom.css	C:/My%20Web%20Sites/final%20flipkart%20clone%20finalest/mymartdeal.store/assets/css/custom.css	(from https://mymartdeal.store/)
18:08:27	55/55	---M-Z	200	added ('OK')	application/json	date:Wed,%2004%20Jun%202025%2012:38:27%20GMT	https://mymartdeal.store/api_services/manage.php	C:/My%20Web%20Sites/final%20flipkart%20clone%20finalest/mymartdeal.store/api_services/manage.json	(from https://mymartdeal.store/)
18:08:27	787/787	---M--	403	error ('Forbidden')	text/html	date:Wed,%2004%20Jun%202025%2012:38:27%20GMT	https://mymartdeal.store/api_services/	C:/My%20Web%20Sites/final%20flipkart%20clone%20finalest/mymartdeal.store/api_services/index.html	(from https://mymartdeal.store/)
18:08:27	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2004%20Jun%202025%2012:38:27%20GMT	https://mymartdeal.store/admin_panel/	C:/My%20Web%20Sites/final%20flipkart%20clone%20finalest/mymartdeal.store/admin_panel/index.html	(from https://mymartdeal.store/)
18:08:27	283220/283220	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2004%20Jun%202025%2012:38:27%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/final%20flipkart%20clone%20finalest/connect.facebook.net/en_US/fbevents.js	(from https://mymartdeal.store/)
18:08:27	158/158	---M--	200	added ('OK')	image/svg+xml	etag:%229e-683b5588-9472f5e4ee71232b;;;%22	https://mymartdeal.store//assets/images/theme/bars.svg	C:/My%20Web%20Sites/final%20flipkart%20clone%20finalest/mymartdeal.store/assets/images/theme/bars.svg	(from https://mymartdeal.store/)
